id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19886366,Hip Leslieville-private room,37888099,Adele,,South Riverdale,43.66777,-79.33834,Private room,52,2,18,2020-01-06,0.46,3,282
19887133,Luxury Loft in Leslieville,20805001,Indie,,South Riverdale,43.66455,-79.34117,Entire home/apt,199,3,14,2019-12-21,0.36,1,0
19888411,Beautiful Victorian 4 Bedroom Home near Subway,1459548,Della,,Dovercourt-Wallace Emerson-Junction,43.66379,-79.42894,Entire home/apt,150,4,1,2017-07-16,0.03,1,0
19890926,Spacious Cabbagetown Suite,101866020,Rosa,,Moss Park,43.66058,-79.36863,Entire home/apt,95,28,22,2020-03-17,0.56,1,50
19891685,Bright spacious 1 BR steps from Roncys & High Park,12919686,Robyn,,High Park-Swansea,43.64463,-79.4506,Entire home/apt,110,3,45,2019-10-24,1.18,1,21
19891990,Private room in a two bedroom condo,140821999,Sean,,Niagara,43.6376,-79.40548,Private room,179,1,8,2019-01-01,0.21,1,0
19892810,Purple Room - Queen Bed,140833265,Ariel,,O'Connor-Parkview,43.70288,-79.31692,Private room,38,10,112,2020-03-29,2.82,4,0
19893144,InstantSuites-❤️ of Yorkville | Netflix | Gym,94654746,Anum,,Annex,43.67032,-79.39443,Entire home/apt,130,1,157,2020-09-04,3.95,1,195
19894520,Stay in prestigious Deer Park!,5245715,Nando,,Rosedale-Moore Park,43.6888,-79.38985,Entire home/apt,161,1,6,2018-09-16,0.23,1,0
19904208,"High Park - Deep Backyard - Big Bedrooms, Spa Bath",4628985,Kelly,,High Park North,43.65738,-79.46608,Entire home/apt,297,3,87,2020-09-01,2.23,1,216
19906321,West Toronto Apartment near Lakeshore,140966612,Troy,,Long Branch,43.59563,-79.52295,Entire home/apt,90,2,26,2020-03-08,0.91,1,0
19908212,20 minutes from Airport & Easy access to Toronto!,57964789,Fabiano,,Stonegate-Queensway,43.64385,-79.52291,Entire home/apt,70,2,13,2020-09-30,0.33,1,88
19908732,Apt near Finch West Subway / York University 漢語OK,96693289,Crystal,,York University Heights,43.7513,-79.48739,Entire home/apt,72,30,12,2020-06-30,0.32,10,309
19909885,"Bright, Modern Apartment in Kensington Market",34913597,Mikaela,,Kensington-Chinatown,43.65652,-79.3977,Entire home/apt,55,4,1,2018-04-27,0.03,1,0
