id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36715169,Quiet apartment with terrace II.,142934847,Hana,,Praha 2,50.06408,14.42293,Entire home/apt,1001,2,13,07/01/2020,0.85,2,300
36729274,Small and guiet nice flat 15 min from city center,67490909,Petr,,Praha 9,50.10972,14.49719,Entire home/apt,600,3,42,03/10/2020,2.73,1,175
36764010,Close to city centre - Hillside apartment 11,76700589,Michaela,,Praha 10,50.07094,14.45533,Entire home/apt,1718,2,13,29/02/2020,0.87,1,0
36773922,★Amazing villa★With heated pool ★ Hot tub & Sauna,57760398,K&D,,Praha 4,50.05929,14.4244,Entire home/apt,5002,1,75,07/10/2020,4.98,1,339
36788372,3BR+1.5 BATH+A/C Luxurious CENTRAL Wilson apt,103146185,Michal&Michael,,Praha 1,50.08656,14.43554,Entire home/apt,4165,3,41,08/03/2020,2.8,19,69
36788830,"Cute room in the nature, 25 min to the center",13822949,Michaela,,Praha 21,50.08321,14.64556,Private room,469,1,10,01/01/2020,0.68,1,320
36789305,"Urban nest for 1-2, bright and sunny room",83708649,Jana,,Praha 2,50.07724,14.43985,Private room,750,3,8,14/08/2020,0.53,3,55
36790295,Perfectly situated CHARMING apartment F2,102354416,Patrícia,,Praha 8,50.09072,14.44084,Entire home/apt,584,2,16,21/07/2020,1.2,20,0
36794082,New Apartment-Close to Prague center,87213719,Kateřina,,Praha 10,50.0701,14.46022,Entire home/apt,2000,1,3,30/12/2019,0.21,2,22
36806416,New sunny apartment 15 minutes Astronomical Clock,266880849,Dana,,Praha 1,50.07774,14.4256,Entire home/apt,1229,3,93,12/10/2020,6.01,1,69
36820868,Bright Comfy Hideaway Centre Prague❤️TV Wash Wifi,3529680,Ondřej,,Praha 1,50.08327,14.43034,Entire home/apt,513,3,60,04/10/2020,4.14,13,0
36836610,5BR+3.5BATH+A/C Luxurious CENTRAL Wilson Penthouse,103146185,Michal&Michael,,Praha 1,50.08619,14.43673,Entire home/apt,9520,3,40,09/03/2020,2.67,19,141
36853177,Cozy apartment near city centre,40004938,Jakub,,Praha 3,50.08249,14.44895,Entire home/apt,726,2,68,24/09/2020,4.46,1,37
36860119,Квартира с двумя спальнями в тихом центре Праги,25792007,Kirill,,Praha 5,50.07544,14.39728,Entire home/apt,3067,1,8,29/02/2020,0.56,1,127
36892655,Cozy rooms near centrum,277292350,Radim,,Praha 3,50.08645,14.47019,Private room,590,2,4,03/01/2020,0.3,1,89
36896032,Family accommodation,203203403,Kateřina,,Újezd,50.00985,14.54639,Entire home/apt,1600,2,3,03/01/2020,0.23,1,89
