id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1774018,Zen Tranquility Retreat,294136176,Vania,,Barrhaven,45.25203,-75.74489,Entire home/apt,152,4,10,2020-09-24,0.75,1,160
1823110,Heart of Ottawa! Walk every where!,8805607,Karen,,Somerset,45.41577,-75.68608,Private room,36,2,254,2019-12-17,2.99,1,291
1827668,Centrally located 3 bedroom home in Westboro!,6818912,Anne-Marie,,Kitchissippi,45.39533,-75.7582,Entire home/apt,189,30,61,2020-09-01,0.73,1,296
1908873,Mer Bleue Private Apartment,9905548,Nadine,,Cumberland,45.42898,-75.48811,Entire home/apt,69,2,99,2020-03-27,1.48,1,1
1950265,Full Executive Townhome,10085317,Mike,,Gloucester-South Nepean,45.28155,-75.67624,Entire home/apt,175,2,10,2016-08-10,0.16,1,0
2148350,Modern Spacious Executive Rental,10964947,Trevor,,College,45.34359,-75.78495,Entire home/apt,89,28,65,2020-07-26,0.93,3,355
2231697,Best Private Room/Bath in Byward,11390230,Meghan,,Rideau-Vanier,45.42493,-75.69181,Private room,93,1,144,2016-12-16,1.76,1,0
2294702,Sleep well. Cast Iron Double Bed,11722130,Andrea,,Rideau-Vanier,45.44036,-75.66556,Private room,60,2,24,2018-12-15,0.30,2,0
2316048,"Spacious, Bright, Modern 1B minutes from Airport!",11774711,Arezou,,Gloucester-South Nepean,45.27901,-75.67288,Private room,105,2,2,2017-07-03,0.05,1,364
2361265,Luxury Downtown 1 Bedroom Condo,5091315,Justyna,,Somerset,45.41671,-75.70046,Entire home/apt,120,60,51,2020-03-21,0.63,1,294
2374455,Charming Eurostyle apartment! PD2,3201295,Greg And Valerie,,Kitchissippi,45.40387,-75.73097,Entire home/apt,63,30,15,2019-07-30,0.24,7,296
2412859,One Bedroom Apt 6 Months,12331568,Marina,,Rideau-Vanier,45.43191,-75.68802,Entire home/apt,47,179,4,2016-05-07,0.07,1,6
2453778,Central Ottawa Micro Condo Studio,12547161,Evaldo,,Somerset,45.41073,-75.69637,Entire home/apt,57,30,288,2020-10-18,3.59,1,365
2474327,Private unit close to Rideau Canal,12656347,Diem,,Capital,45.40896,-75.67849,Entire home/apt,83,3,122,2020-10-19,1.62,1,167
2631572,Quiet retreat to relax and restore,1626558,N.C.,,Bay,45.35755,-75.79367,Entire home/apt,191,3,37,2020-08-09,0.47,2,263
2674916,Manor Park Terrace Home,8399820,Silvia,,Rideau-Rockcliffe,45.45253,-75.6501,Private room,35,2,24,2020-08-08,0.30,1,51
2694679,Chambre calme et fonctionnelle près centre-ville,2291577,Sylvie,,Rideau-Vanier,45.44123,-75.65477,Private room,48,2,17,2018-09-10,0.22,2,0
2744294,3 Bedroom Executive Apt in Westboro,8166549,Michael,,Kitchissippi,45.40304,-75.74582,Entire home/apt,150,5,31,2020-09-08,0.40,1,0
2863659,Lovely Old Ottawa South Home,14636855,Michael And Christine,,Capital,45.39149,-75.68242,Entire home/apt,124,10,8,2019-06-12,0.11,1,0
2935424,Large and bright apt. near downtown,2291577,Sylvie,,Rideau-Vanier,45.43937,-75.65508,Entire home/apt,89,90,34,2019-06-24,0.44,2,0
3181555,"WOW! 50%  off Oct and Nov,  near Ottawa (74-2)",14328325,Nicolas,,Somerset,45.42208,-75.71139,Private room,28,29,17,2020-04-30,0.22,1,357
3504954,Beautiful View of the Ottawa River,17646723,Anisa,,Bay,45.37295,-75.78034,Private room,164,1,0,,,1,0
3562417,Victorian in Ottawa's Byward Market,17304359,Sylvie,,Rideau-Vanier,45.4317,-75.695,Entire home/apt,175,7,2,2014-10-27,0.03,1,263
3589785,The Clarence -A Byward Market Heritage Home,1915465,Sunny,,Rideau-Vanier,45.42964,-75.69132,Entire home/apt,109,3,10,2020-09-28,0.36,1,365
3595233,Clean bsmnt apt in family home,11184513,Caroline,,Rideau-Vanier,45.43938,-75.67043,Entire home/apt,78,1,363,2020-03-18,4.89,1,291
3626074,Modern Lower Town Male Student House near UOttawa,192559616,Samy,,Rideau-Vanier,45.43348,-75.68902,Private room,40,240,0,,,1,142
3666835,"Elegant, bright downtown home",18595528,Rick,,Somerset,45.40907,-75.69736,Entire home/apt,143,2,262,2020-10-13,3.48,1,227
3756438,Clean Disinfected Home Walk to Groceries Yard+Deck,10778431,Judy,,Knoxdale-Merivale,45.35625,-75.72837,Entire home/apt,140,30,119,2020-09-21,1.57,1,170
3800432,Bright and Central Private Room!,7380694,Kaveh,,Rideau-Vanier,45.43472,-75.67776,Private room,35,8,52,2019-09-09,0.69,1,0
3929195,Victorian House in Byward Market,20355739,Irma,,Rideau-Vanier,45.43115,-75.69699,Entire home/apt,235,14,16,2020-10-10,0.22,1,179
3953385,One Bed Room,20491441,Joan Lorraine,,Cumberland,45.44764,-75.47551,Private room,76,3,0,,,1,365
3979459,Hog's Back Carleton University Studio Suite,17307874,Alex,,River,45.36999,-75.7023,Private room,49,5,21,2020-01-11,0.32,1,48
4052228,Executive home in country setting - two bedroom,21011582,Claudette,,Cumberland,45.34647,-75.44541,Private room,75,1,44,2020-09-06,0.60,2,295
4154749,Cozy room in spacious house.,21558659,Orlando,,Rideau-Vanier,45.43137,-75.65702,Private room,36,2,71,2019-11-29,1.15,1,0
4183188,Chic 1 Bedroom in Beechwood Village (Suite 1),21702498,Jane,,Rideau-Vanier,45.44095,-75.66988,Entire home/apt,85,7,22,2019-11-01,0.30,2,1
4183253,"Best Location, Spaciouse 2BDR,",19290752,Mojgan,,Rideau-Vanier,45.43342,-75.69011,Entire home/apt,120,1,169,2020-09-30,2.30,1,0
4296043,Old charm steps away from the heart of the city!,22302143,Isabelle & Jaclin,,Somerset,45.41498,-75.70101,Private room,68,2,265,2020-10-12,5.23,2,74
4317262,Private Room/Bath in a Luxury Condo,20723313,Sachit & Julia,,Kitchissippi,45.39143,-75.75779,Private room,81,2,40,2018-11-03,0.56,1,0
