id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34465029,NEW! San Giovanni & Colosseo Elegant Apt x4,96122546,Ilenia & Benedetta,,I Centro Storico,41.89045,12.50305,Entire home/apt,62,2,16,2020-08-01,0.94,107,152
34468707,Domus Caecilia - via Cola di Rienzo,259815503,Cecilia,,I Centro Storico,41.90681,12.46453,Entire home/apt,56,2,6,2020-08-30,0.42,1,352
34468937,Cozy and bright apartment in Vatican,260189141,Maurizio,,XIII Aurelia,41.89762,12.4517,Entire home/apt,120,2,0,,,1,180
34470321,GEMINI Suites Navona-7 Romolo,260129741,Giuseppe,,I Centro Storico,41.9002,12.47397,Private room,66,2,2,2020-02-13,0.15,5,359
34471519,luxury Room in the center of Rome!!!!,87661083,Ulli,,I Centro Storico,41.89663,12.47952,Private room,130,2,0,,,7,0
34471825,Gemini Suites Navona-6 GEMINI,260129741,Giuseppe,,I Centro Storico,41.9001,12.47336,Private room,104,1,9,2020-02-22,0.56,5,364
34472708,Viale Marconi Apartment,120269417,Andrea,,XI Arvalia/Portuense,41.86443,12.47075,Entire home/apt,45,2,3,2020-02-29,0.23,2,227
34483462,STANZA MATRIMONIALE OSPEDALE SANT'ANDREA,141745151,Federica,,XV Cassia/Flaminia,41.96467,12.44669,Private room,450,1,0,,,1,365
34485353,Affordable 1 BR flat near Battistini Metro Station,2023070,Monica,,XIV Monte Mario,41.90903,12.41346,Entire home/apt,48,2,18,2020-01-23,1.02,22,364
34489218,GEMINI Suites Navona-5 Remo,260129741,Giuseppe,,I Centro Storico,41.90102,12.47402,Private room,59,2,4,2020-01-22,0.40,5,358
34490261,Penthouse in the heart of Rome,82315791,Villy,,I Centro Storico,41.90804,12.47475,Entire home/apt,91,2,31,2020-10-08,1.91,1,66
34490308,CASA VACANZE NOMENTANA,256680931,Stella,,II Parioli/Nomentano,41.91587,12.52627,Entire home/apt,71,2,3,2020-08-08,0.34,14,359
