id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
40608331,Delightful 2 bedroom home in Easton,314677302,Jules,,Lawrence Hill,51.46081,-2.57443,Entire home/apt,88,2,32,2020-10-20,3.04,1,23
40631731,Bright one bed flat close to BRI & University,315009089,Simon,,Clifton Down,51.45909,-2.61021,Entire home/apt,63,1,5,2020-08-31,0.59,1,40
40674073,Double Room in good location,109375960,Caro,,Windmill Hill,51.43775,-2.5824,Private room,35,1,13,2020-10-19,1.69,1,172
40676326,"Bristol bungalow, comfortable and great location.",95296292,Katherine,,Redland,51.47947,-2.59923,Entire home/apt,140,2,3,2020-09-30,0.35,1,5
40677764,Cosy Double room in Quiet family home,167482647,Francesca,,Easton,51.45804,-2.55999,Private room,25,2,11,2020-10-23,1.24,1,60
40697222,Your Apartment The Portland,125651447,Your Apartment,,Central,51.45672,-2.60777,Entire home/apt,94,2,6,2020-09-20,0.56,87,356
40703092,2 bed terraced house in Bristol,58362164,Katie,,Bedminster,51.43551,-2.60864,Entire home/apt,110,2,10,2020-10-08,0.99,1,40
40714905,The Best Luxury Harbourside Apartment in Bristol,238454956,James,,Hotwells & Harbourside,51.45121,-2.60541,Entire home/apt,126,2,9,2020-10-24,0.89,1,329
40720167,King Bed in charming Clifton Hotel,254072120,The Clifton Hotel,,Clifton Down,51.45993,-2.60972,Private room,84,1,1,2020-01-19,0.11,5,295
40720385,Converted Print Factory - Breathtaking Views!,13865891,AirBear,,Southville,51.43946,-2.60069,Entire home/apt,112,1,5,2020-04-26,0.54,7,77
40792729,Stylish 2 bed home in the heart of Clifton,317038429,Graham & Jerry,,Clifton,51.45695,-2.6183,Entire home/apt,103,2,29,2020-10-21,2.95,1,52
40796004,Beautiful Georgian Townhouse,23325717,Kate,,Cotham,51.46738,-2.60328,Entire home/apt,175,2,3,2020-08-23,0.30,1,23
40796549,Midland Mews: contemporary 2-bed apartment,316351487,Rebecca,,Lawrence Hill,51.45606,-2.58015,Entire home/apt,66,2,9,2020-10-04,1.07,1,58
40803098,Modern and Stylish Apartment in Portland Square,40953779,Alex,,Ashley,51.46076,-2.58658,Entire home/apt,57,2,19,2020-10-25,1.91,1,82
40805375,"Light, cosy flat. Easy access to Bristol and Bath.",317214176,Cathy,,Brislington East,51.43449,-2.55048,Entire home/apt,43,1,5,2020-10-24,1.38,1,160
40813734,"Hideaway cabin in Southville, Bristol",47091090,Elisabeth,,Southville,51.44268,-2.605,Entire home/apt,69,1,47,2020-10-18,4.52,1,83
